Country,CountryID,RegionID,SubRegionID
Costa Rica,1,2,3
Mexico,2,2,3
United States of America,3,2,4
Peru,4,2,5
Belgium,5,4,11
Denmark,6,4,11
France,7,4,11
Greece,8,4,11
Iceland,9,4,11
Italy,10,4,11
Luxembourg,11,4,11
Netherlands,12,4,11
Norway,13,4,11
Portugal,14,4,11
Spain,15,4,11
Türkiye,16,5,
Canada,17,2,4
Chile,18,2,5
Australia,19,3,9
"Korea, South",20,3,6
United Kingdom,21,4,11
South Africa,22,1,2
Honduras,23,2,3
Pakistan,24,3,7
Sri Lanka,25,3,7
Myanmar,26,3,8
Poland,27,4,11
Israel,28,5,
Japan,29,3,6
El Salvador,30,2,3
Bolivia,31,2,5
Brazil,32,2,5
Ecuador,33,2,5
Germany,34,4,11
Guatemala,35,2,3
Venezuela,36,2,5
Lebanon,37,5,
Morocco,38,1,1
Tunisia,39,1,1
Sudan,40,1,2
New Zealand,41,3,9
India,42,3,7
Syria,43,5,
Ethiopia,44,1,2
Malaysia,45,3,8
Thailand,46,3,8
Romania,47,4,11
Austria,48,4,11
Switzerland,49,4,11
Iraq,50,5,
Jordan,51,5,
Ghana,52,1,2
Dominican Republic,53,2,3
Colombia,54,2,5
Philippines,55,3,8
Yugoslavia,56,4,11
Finland,57,4,11
Ireland,58,4,11
Saudi Arabia,59,5,
Libya,60,1,1
Benin,61,1,2
Burkina Faso,62,1,2
Madagascar,63,1,2
Nigeria,64,1,2
Paraguay,65,2,5
Sweden,66,4,11
Iran,67,5,
Mali,68,1,2
Sierra Leone,69,1,2
Somalia,70,1,2
Togo,71,1,2
Burundi,72,1,2
Cote d'Ivoire,73,1,2
Uganda,74,1,2
Argentina,75,2,5
Egypt,76,5,
Algeria,77,1,1
"Congo, DR",78,1,2
Kenya,79,1,2
Guinea,80,1,2
Liberia,81,1,2
Malawi,82,1,2
Zimbabwe,83,1,2
Gabon,84,1,2
Tanzania,85,1,2
Laos,86,3,8
Mauritius,87,1,2
Nicaragua,88,2,3
Trinidad and Tobago,89,2,3
Hungary,90,4,11
Cameroon,91,1,2
"Congo, Republic",92,1,2
Fiji,93,3,9
Afghanistan,94,3,7
Nepal,95,3,7
Singapore,96,3,8
Kuwait,97,5,
Bahrain,98,5,
Oman,99,5,
Uruguay,100,2,5
Rwanda,101,1,2
Guyana,102,2,5
Bangladesh,103,3,7
Indonesia,104,3,8
Niger,105,1,2
Papua New Guinea,106,3,9
Lesotho,107,1,2
Jamaica,108,2,3
Botswana,109,1,2
Mozambique,110,1,2
Eswatini,111,1,2
Angola,112,1,2
Djibouti,113,1,2
Senegal,114,1,2
Qatar,115,5,
Belize,116,2,3
Guinea-Bissau,117,1,2
Chad,118,1,2
"Gambia, The",119,1,2
Cape Verde,120,1,2
Zambia,121,1,2
Brunei,122,3,8
Mauritania,123,1,2
Seychelles,124,1,2
Cyprus,125,4,11
Malta,126,4,11
Panama,127,2,3
Viet Nam,128,3,8
Haiti,129,2,3
Taiwan,130,3,6
China,131,3,6
Bulgaria,132,4,11
Namibia,133,1,2
Cambodia,134,3,8
Czechoslovakia,135,4,11
Yemen,136,5,
Central African Republic,137,1,2
Mongolia,138,3,6
Tajikistan,139,3,12
Albania,140,4,11
Croatia,141,4,11
Slovenia,142,4,11
Azerbaijan,143,4,10
Eritrea,144,1,2
Czechia,145,4,11
Estonia,146,4,11
Latvia,147,4,11
Lithuania,148,4,11
Slovakia,149,4,11
Armenia,150,4,10
Russia,151,4,10
Ukraine,152,4,10
Equatorial Guinea,153,1,2
Kazakhstan,154,3,12
Kyrgyz Republic,155,3,12
Turkmenistan,156,3,12
Uzbekistan,157,3,12
Belarus,158,4,10
Moldova,159,4,10
North Macedonia,160,4,11
Georgia,161,4,10
Serbia,162,4,11
United Arab Emirates,163,5,
Bosnia and Herzegovina,164,4,11
Cuba,165,2,3
Timor Leste,166,3,8
Montenegro,167,4,11
South Sudan,168,1,2
Kosovo,169,4,11
"Korea, North",170,3,6
